Sorszám;Márka;Modell;Gyártási év;Szín;Eladott darabszám;Átlagos eladási ár;
1;Toyota;Corolla;2019;Fehér;500;20000;
2;Ford;Fiesta;2018;Kék;600;18000;
3;Volkswagen;Golf;2020;Piros;800;22000;
4;Honda;Civic;2017;Fekete;450;19000;
5;Hyundai;i30;2021;Zöld;700;21000;
6;BMW;3 Series;2019;Szürke;650;27000;
7;Nissan;Leaf;2020;Fehér;550;25000;
8;Tesla;Model 3;2021;Piros;1200;35000;
9;Renault;Clio;2019;Kék;670;16000;
10;Peugeot;208;2018;Szürke;590;15000;
11;Mercedes-Benz;A-Class;2020;Fekete;800;28000;
12;Audi;A3;2019;Zöld;620;26000;
13;Chevrolet;Bolt;2021;Fehér;300;37000;
14;Skoda;Octavia;2018;Kék;550;22000;
15;Fiat;500;2017;Piros;400;14000;
